epoch,accuracy,loss,val_accuracy,val_loss
0,0.55474454164505,0.6775375604629517,0.5414634346961975,0.6723647117614746
1,0.6374695897102356,0.645071268081665,0.6975609660148621,0.6279659867286682
2,0.7165449857711792,0.6058404445648193,0.7463414669036865,0.5860797166824341
3,0.7481752038002014,0.5574007630348206,0.795121967792511,0.5449875593185425
4,0.7761557102203369,0.5175185799598694,0.8390243649482727,0.48703134059906006
